run_label,prompt_id,stage,time_s
run_01_baseline,baseline,Final render,0.51
run_01_baseline,baseline,Highlighting & ckpt,0.61
run_01_baseline,baseline,OWLv2 detection,5.4
run_01_baseline,baseline,Total,198.99
run_01_baseline,baseline,Unprojection & 3D detection,0.06
run_01_baseline,baseline,Vase integration,1.18
run_02_car_center_red,car_center_red,Final render,0.48
run_02_car_center_red,car_center_red,Highlighting & ckpt,0.67
run_02_car_center_red,car_center_red,OWLv2 detection,4.99
run_02_car_center_red,car_center_red,Total,215.91
run_02_car_center_red,car_center_red,Unprojection & 3D detection,0.06
run_02_car_center_red,car_center_red,Vase integration,1.16
run_03_car_left_blue,car_left_blue,Final render,0.51
run_03_car_left_blue,car_left_blue,Highlighting & ckpt,3.39
run_03_car_left_blue,car_left_blue,OWLv2 detection,5.69
run_03_car_left_blue,car_left_blue,Total,240.7
run_03_car_left_blue,car_left_blue,Unprojection & 3D detection,0.13
run_03_car_left_blue,car_left_blue,Vase integration,1.23
run_04_car_right_white,car_right_white,Final render,0.49
run_04_car_right_white,car_right_white,Highlighting & ckpt,0.59
run_04_car_right_white,car_right_white,OWLv2 detection,5.04
run_04_car_right_white,car_right_white,Total,211.84
run_04_car_right_white,car_right_white,Unprojection & 3D detection,0.05
run_04_car_right_white,car_right_white,Vase integration,1.15
run_05_bench_modern,bench_modern,Final render,0.47
run_05_bench_modern,bench_modern,Highlighting & ckpt,0.61
run_05_bench_modern,bench_modern,OWLv2 detection,5.51
run_05_bench_modern,bench_modern,Total,215.42
run_05_bench_modern,bench_modern,Unprojection & 3D detection,0.05
run_05_bench_modern,bench_modern,Vase integration,1.14
run_06_bench_long,bench_long,Final render,0.48
run_06_bench_long,bench_long,Highlighting & ckpt,0.62
run_06_bench_long,bench_long,OWLv2 detection,4.67
run_06_bench_long,bench_long,Total,209.77
run_06_bench_long,bench_long,Unprojection & 3D detection,0.05
run_06_bench_long,bench_long,Vase integration,1.2
run_07_planter_green,planter_green,Final render,0.48
run_07_planter_green,planter_green,Highlighting & ckpt,0.59
run_07_planter_green,planter_green,OWLv2 detection,4.98
run_07_planter_green,planter_green,Total,259.91
run_07_planter_green,planter_green,Unprojection & 3D detection,0.05
run_07_planter_green,planter_green,Vase integration,1.28
run_08_chair_white,chair_white,Final render,0.48
run_08_chair_white,chair_white,Highlighting & ckpt,0.54
run_08_chair_white,chair_white,OWLv2 detection,5.87
run_08_chair_white,chair_white,Total,218.16
run_08_chair_white,chair_white,Unprojection & 3D detection,0.05
run_08_chair_white,chair_white,Vase integration,1.17
