,YOLO Detection Time (s),Unprojection & 3D Detection Time (s),Highlight/CKPT Time (s),Vase Integration Time (s),Total Time (s),CPU User Time (s),CPU System Time (s),Mean RAM (MB),Mean GPU Mem (MB),Unprojection Time (s),3D Detection Time (s)
Run 1,0.36,0.03,0.64,0.27,2.32,4.32,0.53,1171.25,12.1,0.015,0.015
Run 2,0.36,0.02,0.59,0.2,2.18,3.38,0.42,1064.26,12.1,0.01,0.01
Run 3,0.36,0.1,1.06,0.84,3.77,5.41,1.51,1963.63,12.1,0.05,0.05
Run 4,0.33,0.09,0.95,0.77,3.96,5.02,1.65,1880.31,12.45,0.05,0.05
Run 5,0.32,0.1,1.13,0.82,3.42,4.93,1.59,1941.05,11.69,0.05,0.05
Run 6,0.3,0.09,1.02,0.79,3.75,4.67,1.55,2087.36,11.57,0.05,0.05
Run 7,0.29,0.1,1.07,0.86,3.59,4.29,1.44,2037.03,12.02,0.05,0.05
Run 8,0.33,0.09,0.88,0.84,4.07,4.78,1.7,1816.0,11.26,0.05,0.05
Run 9,0.32,0.11,1.14,0.78,3.9,4.45,1.43,2156.94,12.86,0.05,0.05
Run 10,0.28,0.09,1.11,0.82,3.47,4.28,1.64,2193.39,11.47,0.05,0.05
MLLM/Gaussian Semantic,0.1625,,0.7672,0.5592,2.4101,,,1922.6781,13.1582,0.0255,0.0255
